iptv_id,channel_name,epg_id,epg_name,provider,match
SouthStation.in,South Station,,,,none
Spondon.in,Spondon,2435,Spondon,jiotv,exact
StarGold2.in,Star Gold 2,3096,Star Gold 2 HD,jiotv,exact
StarJalsha.in,Star Jalsha,317,Star Jalsha HD,jiotv,exact
StarMaa.in,Star Maa,,,,none
StarMaaMovies.in,Star Maa Movies,760,Maa Movies HD,jiotv,exact
StarPravah.in,Star Pravah,336,Star Pravah HD,jiotv,exact
StarSports2.in,Star Sports 2,ts609,STAR Sports 2,tataplay,exact
StarSports2Hindi.in,Star Sports 2 Hindi,1984,Star Sports 2 Hindi HD,jiotv,exact
StarSports2Telugu.in,Star Sports 2 Telugu,2852,Star Sports 2 Telugu,jiotv,exact
StarSportsSelect2.in,Star Sports Select 2,ts603,Star Sports Select 2,tataplay,exact
StarVijay.in,Star Vijay,368,Star Vijay HD,jiotv,exact
Starnet.in,Starnet,,,,none
StarPlus.in,StarPlus,1132,Star Plus HD,jiotv,exact
SteelbirdMusic.in,Steelbird Music,1184,Steelbird Music,jiotv,exact
StudioOnePlus.in,Studio One +,1274,Studio One,jiotv,exact
StudioYuva.in,Studio Yuva,,,,none
SubhavaarthaTV.in,Subhavaartha TV,607,Subhavartha TV,jiotv,fuzzy
SubinTV.in,Subin TV,3360,Subin TV,jiotv,exact
SudarshanNews.in,Sudarshan News,ts475,Sudarshan News,tataplay,exact
SunGemini.in,Sun Gemini,897,Sun Gemini HD,jiotv,exact
SuperHungama.in,Super Hungama,1392,Super Hungama,jiotv,exact
SuriyaTV.in,Suriya TV,3394,Suriya TV,jiotv,exact
SuriyanTV.in,Suriyan TV,3394,Suriya TV,jiotv,fuzzy
SuvarnaNews.in,Suvarna News,626,Suvarna News,jiotv,exact
SVBC.in,SVBC,1850,SVBC,jiotv,exact
SVBC2.in,SVBC 2,1417,SVBC2,jiotv,exact
SVBC3.in,SVBC 3,1858,SVBC3,jiotv,exact
SVBC4.in,SVBC 4,1859,SVBC4,jiotv,exact
SwadeshNews.in,Swadesh News,1185,Swadesh News,jiotv,exact
SwarajExpressSMBC.in,Swaraj Express SMBC,,,,none
SwastikTV.in,Swastik TV,3459,Swastik TV,jiotv,exact
SwatantraTV.in,Swatantra TV,,,,none
TNews.in,T News,667,T News,jiotv,exact
TaazaTV.in,Taaza TV,791,Taaza TV,jiotv,exact
TabbarHits.in,Tabbar Hits,2778,Tabbar Hits,jiotv,exact
TamilJanam.in,Tamil Janam,3045,Tamil Janam,jiotv,exact
TamilanTV.in,Tamilan TV,,,,none
TarangMusic.in,Tarang Music,751,Tarang Music,jiotv,exact
TarangTV.in,Tarang TV,703,Tarang,jiotv,filler
TehzeebTV.in,Tehzeeb TV,1252,Tehzeeb TV,jiotv,exact
TeluguOne.in,Telugu One,,,,none
ThanthiOne.in,Thanthi One,3059,Thanthi One,jiotv,exact
ThanthiTV.in,Thanthi TV,830,Thanthi TV,jiotv,exact
TheJungleBook.in,The Jungle Book,,,,none
TheMovieClub.in,The Movie Club,,,,none
TheVoiceTV.in,The Voice TV,3505,The Voice TV,jiotv,exact
ThendralTV.in,Thendral TV,,,,none
TimesNow.in,Times Now,383,Times NOW,jiotv,exact
TimesNowNavbharat.in,Times Now Navbharat,1906,Times Now Navbharat,jiotv,exact
TNPNews.in,TNP News,3053,TNP News,jiotv,exact
TOIGlobal.in,TOI Global,3440,TOI Global,jiotv,exact
TopNewsMarathi.in,Top News Marathi,1972,Top News Marathi,jiotv,exact
TotalBhakti.in,Total Bhakti,,,,none
TotalTVHaryana.in,Total TV Haryana,,,,none
Travelxp.in,Travelxp,164,Travelxp HD,jiotv,exact
TVPunjab.ca,TV Punjab,,,,none
TV13Gujarati.in,TV13 Gujarati,3369,TV13 Gujarati,jiotv,exact
TV27News.in,TV27 News,2081,TV27 News,jiotv,exact
TV30India.in,TV30 India,,,,none
TV45.in,TV45,2954,TV45,jiotv,exact
TV5Kannada.in,TV5 Kannada,956,TV 5 Kannada,jiotv,exact
TV5News.in,TV5 News,668,TV 5 News,jiotv,exact
TV9Bangla.in,TV9 Bangla,1735,TV9 Bangla,jiotv,exact
TV9Bharatvarsh.in,TV9 Bharatvarsh,1251,TV9 Bharatvarsh,jiotv,exact
TV9Gujarati.in,TV9 Gujarati,0-9-260,TV9 Gujarati,zee5,exact
TV9Kannada.in,TV9 Kannada,0-9-259,TV9 Kannada,zee5,exact
TV9Marathi.in,TV9 Marathi,0-9-257,TV9 Marathi,zee5,exact
TV9Telugu.in,TV9 Telugu,0-9-258,TV9 Telugu,zee5,exact
UBangla.in,U Bangla,2184,U Bangla,jiotv,exact
UltimateTV.in,Ultimate TV,3396,Ultimate TV,jiotv,exact
UniqueTV.in,Unique TV,3022,Unique TV,jiotv,exact
Unite8Sports2.in,Unite8 Sports 2,ts592,Unite8 Sports 2,tataplay,exact
UTVPalakkad.in,UTV Palakkad,,,,none
V6News.in,V6 News,769,V6 News,jiotv,exact
VaanavilTV.in,Vaanavil TV,971,Vaanavil TV,jiotv,exact
VanithaTV.in,Vanitha TV,775,Vanitha,jiotv,filler
VasanthTV.in,Vasanth TV,727,Vasanth TV,jiotv,exact
VCV.in,VCV,,,,none
Vedic.in,Vedic,856,Vedic TV,jiotv,exact
VelichamTV.in,Velicham TV,3004,Velicham Tv,jiotv,exact
VendharTV.in,Vendhar TV,857,Vendhar TV,jiotv,exact
VijayTakkar.in,Vijay Takkar,3269,Vijay Takkar,jiotv,exact
VillageTV.in,Village TV,3497,Village TV,jiotv,exact
VIPNews.in,VIP News,510,VIP News,jiotv,exact
Vision.in,Vision,,,,none
VissaTV.in,Vissa TV,734,Vissa TV,jiotv,exact
VistaarNews.in,Vistaar News,3070,Vistaar News,jiotv,exact
VRLive.in,VR Live,1790,VR Live,jiotv,exact
VTU.in,VTU,,,,none
VTVNews.in,VTV News,,,,none
VyasChannel.in,Vyas Channel,,,,none
WinTV.in,Win TV,970,Win TV,jiotv,exact
WION.in,WION,412,Wion,jiotv,exact
WorldPunjabiTV.in,World Punjabi TV,,,,none
WOWKidz.in,WOW Kidz,,,,none
YETMax.in,YET Max,,,,none
YETTV.in,YET TV,,,,none
YRFMusic.in,YRF Music,2753,YRF Music,jiotv,exact
ZainabiaChannel.in,Zainabia Channel,,,,none
ZBBhakti.in,ZB Bhakti,3320,ZB Bhakti,jiotv,exact
ZBCartoon.in,ZB Cartoon,3321,ZB Cartoon,jiotv,exact
ZBMusic.in,ZB Music,3319,ZB Music,jiotv,exact
Zee24Ghanta.in,Zee 24 Ghanta,464,Zee 24 Ghanta,jiotv,exact
Zee24Kalak.in,Zee 24 Kalak,929,Zee 24 Kalak,jiotv,exact
Zee24Taas.in,Zee 24 Taas,442,Zee 24 Taas,jiotv,exact
ZeeAction.in,Zee Action,488,Zee Action,jiotv,exact
ZeeBangla.in,Zee Bangla,1977,Zee Bangla HD,jiotv,exact
ZeeBanglaSonar.in,Zee Bangla Sonar,3476,Zee Bangla Sonar,jiotv,exact
ZeeBharat.in,Zee Bharat,652,Zee Bharat,jiotv,exact
ZeeBiharJharkhand.in,Zee Bihar Jharkhand,661,Zee Bihar Jharkhand,jiotv,exact
ZeeBusiness.in,Zee Business,657,Zee Business,jiotv,exact
ZeeCineClassic.in,Zee Cine Classic,,,,none
ZeeCinema.in,Zee Cinema,165,Zee Cinema HD,jiotv,exact
ZeeCinemalu.in,Zee Cinemalu,1363,Zee Cinemalu HD,jiotv,exact
ZeeClassic.in,Zee Classic,1691,Zee Classic,jiotv,exact
ZeeComedyNation.in,Zee Comedy Nation,,,,none
ZeeDelhiNCRHaryana.in,Zee Delhi NCR Haryana,724,Zee Delhi NCR Haryana,jiotv,exact
ZeeDilSe.in,Zee Dil Se,,,,none
ZeeHorrorNights.in,Zee Horror Nights,,,,none
ZeeKannada.in,Zee Kannada,689,Zee Kannada,jiotv,exact
ZeeKannadaNews.in,Zee Kannada News,2742,Zee Kannada News,jiotv,exact
ZeeMadhyaPradeshChhattisgarh.in,Zee Madhya Pradesh Chhattisgarh,0-9-zeemadhyapradeshchat,Zee Madhya Pradesh Chhattisgarh,zee5,exact
ZeeMarathi.in,Zee Marathi,1360,Zee Marathi HD,jiotv,exact
ZeeNews.in,Zee News,504,Zee News,jiotv,exact
ZeePunjabHaryanaHimachal.in,Zee Punjab Haryana Himachal,,,,none
ZeeRajasthan.in,Zee Rajasthan,659,Zee Rajasthan,jiotv,exact
ZeeSouthFlix.in,Zee South Flix,,,,none
ZeeTalkies.in,Zee Talkies,1358,Zee Talkies HD,jiotv,exact
ZeeTamil.in,Zee Tamil,628,Zee Tamil,jiotv,exact
ZeeTamilNews.in,Zee Tamil News,504,Zee News,jiotv,exact
ZeeTelugu.in,Zee Telugu,1354,Zee Telugu HD,jiotv,exact
ZeeTeluguNews.in,Zee Telugu News,3031,Zee Telugu News,jiotv,exact
ZeeTV.in,Zee TV,167,Zee TV HD,jiotv,exact
ZeeUttarPradeshUttarakhand.in,Zee Uttar Pradesh/Uttarakhand,0-9-channel_265145625,Zee News Uttar Pradesh Uttrakhand,zee5,fuzzy
ZeeZest.in,Zee Zest,2757,Zee Zest HD,jiotv,exact
ZillarBartaNews.in,ZillarBarta News,,,,none
Zing.in,Zing!,585,Zing,jiotv,exact
ZodiakTV.in,Zodiak TV,,,,none
Zoom.in,Zoom,592,ZOOM,jiotv,exact
